source,objectid,filename,identifier,title,date,description,subject,location,format,type,language,creator,object_location,image_small,image_thumb,rights,rightsstatement,,publisher_digital,date_scanned
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence11,78-1.jpg,78-1,Letter of Appreciation for Brackenbury Square Dedication Appearance,1983-11-3,Letter of appreciation from Lewiston Mayor Craig McMiken for Brackenbury Square Dedication performance.,Barbershop quartets; Public appearances,Brackenbury Square,Scanned on Canon CanoScan 4400F scanner @ 200 dpi,Correspondence,en-US,City of Lewiston,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8221,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8221,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8221&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-6-26
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence12,1-3.jpg,1-3,Chapter Formation Informational Meeting,1979-6-19,Newspaper announcement of informational meeting to form Lewiston area barbershop harmony group.,Advertising,Unknown,Scanned on Canon CanoScan 4400F scanner @ 300 dpi,Advertisements; Clippings,en-US,Lewiston Tribune,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8203,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8203,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8203&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-6-27
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence13,81-1.jpg,81-1,Installation of officers,1983-13-13,"Installation of officers,1984; Henry Banget; John Anglin; John Marchi; S.P.E.B.S.Q.S.A.",Installation of officers,Lewiston Elks Lodge,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8223,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8223,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8223&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence14,81-2.jpg,81-2,"Installation of officers, 1984",1983-12-13,"Northwest Passage serenading at Installation of officers meeting,1984",Northwest Passage (Barbershop Quartet); Installation of officers; S.P.E.B.S.Q.S.A.; Singing,Lewiston Elks Lodge,Scanned on CanoScan 4400F @ 75 dpi,Color Photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8224,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8224,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8224&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence15,81-3.jpg,81-3,"Installation of Officers, 1984",1983-12-13,"Installation of officers meeting, 1984. L to R: Del Collier; John Nordgaard; Henry Bangert; Dale Vallandigham; Vic Deering; Lloyd Bosserman",Installation of officers; S.P.E.B.S.Q.S.A.,Lewiston Elks Lodge,Scanned on CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8225,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8225,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8225&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence16,51-1.jpg,51-1,"Charter Night Celebration--November 22, 1980",1980-11-22,"Charter Night performance, Nov.22, 1980. Grand Finale of Charter Show.",Barbershop quartets; Singers; Celebrations; Premiers; Pages of Harmony; Prosser Pops; Columbia Rivertug Boat Company; The Yellow Jackets;South Sounders;The Ad Hoc Committee,Lewiston High School Auditorium,Scanned on HP6200C scanner at 75 dpi,Photographic prints; Photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8209,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8209,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8209&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2006-12-27
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence17,p4012coll4_21_full.jpg,p4012coll4_21_full,"Program for ""Moonlight and Roses"" Concert",1981-10-?,"Concert program for ""Moonlight & Roses"" concert.",Concerts;Barbershop quartets,Unknown,Unknown,Unknown,en-US,Confluence of Note,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8247,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8247,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8247&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence18,1-27.jpg,1-27,Charter for Lewis-Clark Chapter of SPEBSQSA,1980-10-13,Charter for the Lewis-Clark Chapter of SPEBSQSA.,Chapter documents,Unknown,Scanned on Canon CanoScan 4400F scanner @ 300 dpi.,Charters,en-US,Fred Nordgaard; SPEBSQSA,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8204,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8204,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8204&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-6-25
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence19,63-1.jpg,63-1,Lewiston Center Mall Stores Celebrate Opening,1981-9-20,News clipping announcing celebration of new store openings at Lewiston Center Mall.,Barbershop quartets; Celebrations;,Lewiston Center Mall,Scanned on CanoScan 4400 F scanner @ 200 dpi,clippings; newsclippings,en-US,Lewiston Tribune,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8212,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8212,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8212&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2008-08-23
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence20,73-2.jpg,73-2,"Installation of Officers, 1982",1982,"L to R: John Nordgaard, Vic Deering, Terry Svingen, Guy Trotter, Vance Vallandigham, Gene Hagedorn, Henry Bangert, Fred Nordgaard, Lloyd Bosserman",Installation of officers,Unknown,Scanned on CanoScan 4400F scanner @ 75 dpi,Color photograph,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8215,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8215,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8215&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-6-25
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence21,79-1.jpg,79-1,An Evening of Cabaret Fun,1983-10-15,"Advertisement for an ""Evening of Cabaret Fun"" a singing event that included barbershop harmony and audience sing-along.",Advertising; Concerts; John Nordgaard; Lady barbershoppers; singing,St. Stanislaus Gym,Scanned on CanoScan 4400F scanner @ 300 dpi,Advertisements,en-US,John Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8222,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8222,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8222&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence22,100-2.jpg,100-2,Confluence of Note Salutes Lewiston's 125th Birthday,1986-5-3,"News clipping advertisement for ""Memory Melodies in Barbershop Harmony"" a concert saluting Lewiston's 125th birthday.",Concerts; Northwest Passage (Group); Confluence of Note; Advertising,Lewiston High School Auditorium,Scanned on CanoScan 4400F scanner @ 75 dpi,Clippings; Advertisements,en-US,Lewiston Morning Tribune,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8230,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8230,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8230&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence23,81-4.jpg,81-4,Bangert heads barbershop chorus,1983-12-18,"Lewiston Tribune article describing installation of new officers for 1984: Henry Bangert, President; John Nordgaard, membership Vice-president; Victor Deering, Secretary; Loyd Bosserman, Treasurer; Del Collier, Board of directors.",Barbershop quartets; singing; installation of officers,Lewiston Elk lodge,Scanned on CanoScan 4400F scanner @75 dpi,Clippings; Newsclippings,en-US,Lewiston Tribune,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8226,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8226,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8226&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence24,130-2.jpg,130-2,"Hatton Coulee Rest Stop, Memorial Weekend, 1993",1993-9,"Hatton Coulee Rest Stop, Memorial weekend, 1993. Same 24 hour period as in 1991, donations grossed $2581.25",Barbershop quartets; Community service,Hatton Coulee Rest Stop,Scanned on Canoscan 4400F@75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8235,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8235,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8235&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence25,130-4.jpg,130-4,"Hatton Coulee Rest Stop, Memorial weekend, 1993",1993-9,"Hatton Coulee Rest stop, Memorial weekend 1993. Same 24 hr. periods as in 1991 Donations grossed $2581.25",Barbershop quartets; Community service; Rest stops,Hatton Coulee Rest Stop,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8236,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8236,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8236&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence26,87-3.jpg,87-3,"The Tscemenicum, May 1984",1984-5-12,"May 1984 issue of ""The Tscemenicum"" the official Lewis-Clark chapter bulletin.",Tscemenicum; Concerts; Barbershop quartets,Lewiston High School,Scanned on HP 6200C scanner a 75 dpi,Bulletins,en-US`,"Lewis-Clark Chapter, SPEBSQSA",https://www.cityoflewiston.org/ImageRepository/Document?documentID=8228,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8228,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8228&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence27,92-5.jpg,92-5,Evening of Barbershop Memories,1985-4-13,"Program for concert, ""An Evening of Barbershop Memories"" on April 13, 1985 at Lewiston High School Auditorium.",Barbershop quartets; Northwest Passage (Group); Concerts; Confluence of Note,Lewiston High School Auditorium,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Concert programs; Programs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8229,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8229,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8229&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence28,131-2.jpg,131-2,"Performance at LCSC Luncheon, July 17, 1993",1993-7-17,"Performance at LCSC Luncheon on July 17, 1993. Seated are Phil Johnson, Fred Nordgaard, Noel Barbuto and Jerry Hanowell.",Concerts; Lewis-Clark State College,Lewis-Clark State College,Scanned on Canon CanoScan 4400F @75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8238,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8238,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8238&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence29,131-3.jpg,131-3,Performance at LCSC Luncheon,1993-7-17,"Performance at LCSC Luncheon on July 17, 1993. Seated are Fred Nordgaard and Charlie Storm.",Concerts; Lewis-Clark State College,Lewis-Clark State College,Scanned on Canon CanoScan 4400F @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8239,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8239,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8239&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-28
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence30,p4012coll4_37_full.jpg,p4012coll4_37_full,Letter of Official notice of SPEBSQSA Chapter Designation,1980-5-28,Letter of official notice of charter designation of the Lewis-Clark Chapter by the SPEBSQSA International Executive Committee.,SPEBSQSA; Lewis-Clark Chapter;,Unknown,Scanned on Canon CanoScan 4400F scanner @ 200 dpi,Charters; Correspondence,en-US,SPEBSQSA,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8202,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8202,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8202&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-6-27
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence31,131-1.jpg,131-1,Performance at LCSC Luncheon,1993-7-17,"Performance at Lewis-Clark State College Luncheon, July 17, 1993. Noel Barbuto directing.",Concerts; Lewis-Clark State College,Lewis-Clark State College,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8237,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8237,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8237&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence32,127-4.jpg,127-4,Cabaret at Fred Poole Recreation Center,1992-10-31,"Cabaret at Fred Poole Recreation Center, 1992. Noel Barbuto directing. Electric barber pole created by Del Collier.",Concerts; Barbershop quartets; Barber poles,Fred Poole Recreation Center,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8234,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8234,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8234&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
Fred Nordgaard Scrapbooks: Lewiston City Library Special Collection,confluence33,115-4.jpg,115-4,Saturday Night Special at Cenex Co-operative Banquet,1990-2-3,"Chorus and ""Saturday Night Special"" entertaining farmer clients at Cenex Co-operative banquet, February 3, 1990",Concerts; Saturday night specials; Barbershop quartets,Cenex Co-operative,Scanned on Canon CanoScan 4400F scanner @ 75 dpi,Color photographs,en-US,Fred Nordgaard,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8231,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8231,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8231&thumbnailSize=Thumb150x150,"For permission to publish, contact Lewiston City Library
Phone: (208)-798-2525 E-mail: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,Lewiston City Library,2007-8-22
